English,Nyishi
" O Brahmin, this thief wants to steal your calves  ","“Bramin-na , soq dvcobo si noqg svv ko dornyiam dvcol wgtanum ”"
The Brahmin quickly invoked his deity through prayer and the power of the prayer forced the monster to flee ,Bramin akv nyebia jaqb mwwg pwnboam swgwnum hoo swgwnam huqlw hoqgv apa roornvn ruqlin kunum 
The Brahmin then took a stick and drove off the thief ,Ho svvda lvgab dvcoboam Bramin akv ruqpaq kunum 
The Two Headed Weaver,Vj cumn bov Dumpo Pwnyinam
"Once upon a time,","Lok mood golo vj cumn bo nyi ak doonum,"
there was a weaver by the name Mantharaka ,"vj cumn bo nyi ak doonum, hoqg eminv Mantaraka "
"One day,","Aal loog golo,"
"When he was weaving a cloth on his loom,","hwdlo mwv vj cumdu yikho,"
the wooden frames of his loom broke ,mwwg vj cumgwnvn svvdangv dwrtunum 
He took an axe and went to the forest to bring wood in order to make new frames ,Mwv vxam bwwlayil hoo nyoro wl svvda pal nitbo vj cumgwnanam mvdar dvb nyinum 
He went round the forest but did't find the adequate wood ,Mwv nyoroho svvda meegaqnum hvbmabde albo kaapa maanum 
He then drifted towards the seashore where he saw a huge tree ,Ho mwv sa-svlo sugur daiyab wnum hoo mwv svvn nwwt rara bo nwwg kaapanum 
"He thought that if he could cut wood from the tree,","Mwv hoq svvn hoqgv svvda palin dvb mwwnum,"
he would have enough wood for all frames for the rest of his life ,ho vj cumgwnan mwlwngam mvdar nadwb svvdangam palin layil mvdar tvl mwwg swwnam bupwho doomin dvb mwwnum 
"As the weaver raised his axe to cut the tree,","Vj cumnbo akv mwwg vxam lwwrabnv svvnam pata taiyam,"
"a spirit living on that tree called out,","svvnho doonbo yalv ak agam goqlinv begamv,"
" O weaver, this tree is my home and it must be spared in any event,","“Kv…v vj cumnboa, soq svvn si ngoqg nammv hoo sam hoggub nyijaqkam pama bvka,"
because it prevents my body from the cool breeze which comes from the sea  ,hog-gab hvbnyiloqkam sa-svlo hoqg swkwr dooi yilinboam ngoqg gv cwwgw nanv ”
"Mantharaka said,","Mantaraka benum,"
" Sir, if I don't cut the tree and take its wood home,","“Sar, ngo svvn sam patab layil sam nammwb wg mabnyiloqkam,"
then my family will starve and die ,ngoqg imiq dvparv kanol sita yuku 
"So, please go somewhere else as I have to cut this tree  ","Hoqgab no hog golo wleq yaato, ngo soq svvn sam patab dvb nyiky do ”"
"The spirit tried to lure him,","Ho yal ak hv mwam benyioql biyuqnum,"
" If you do not cut the tree,","“No soq svvn sam patab mabnyiloqkam,"
I will give you a boon of your choice  ,ngo noqg daagabnam mam koi yaab jitayin ”
" The weaver thought for a while and said,","Vj cumnbo akv meeg oiyu go mool doopel hoo benum,"
" Sir, in that case,","“Sar, hvbpanyiloqkam,"
I will go home and ask my wife and friends ,ngoqg nammwb ngo wkur gvdwl ngoqg nywxwngam la ajin tulungam taka taden 
"When I will return,","Hwdlo ngo hookur yukun,"
you must give me what I ask for  ,"ngo hoggv nam kotayin, ham no ngam jiky dvb nyiyi kunpv ”"
The spirit agreed to it and the weaver returned home with joy ,Yalv ham loonum hoo vj cumnbo akv hemp-hvnyirl nammwb wkur kunum 
"On his way back he met his friend,","Lamtaho wkurl wdu yikho, mwwg ajin akam kapanum,"
"the barber, and said, Friend, a spirit has given me a boon of my choice and gave me time to consult friends and my wife ","dum cabn bo ajinam kaapanum hoo benum, “Ajin, yal ak ngoqg daagabnam mam koi yaab jitayinwk hvl bedo hoo ngoqg ajin tulungam la ngoqg nywxwngam tokur mvdwb ngam mood jipa "
Tell me what I should demand from him  ,"Ngam betam kvka tvna, mwwg galoqkv hoggv ngo koiyin do ”"
"The barber replied,","Dum cabn bo ak hv birwqnum,"
" My dear friend,","“Ngoqg ajin,"
demand a kingdom where you could be the King and I would be your Prime Minister ,"lvpw-haty loq ak koto, hoqho no lvpw at gob nyil doodwb hoo ngoqg lvgab ngo xilo rad gob nyil doodwb "
"You would have a palace,","Ho no lvpw atwg namlo dook ak dootayin,"
where we could enjoy a luxurious life  ,hoqho ngulug swwnamv hemp-hvnyirl swwtayin ”
"Mantharaka said,  True ","Mantaraka, benum, hv jvqtw go "
But let me ask my wife too  ,"Hvbsujaqkam, ngoqg nywxwngam kam ngo taka tvnpv ”"
The barber was a selfish man and he wanted to stop him from consulting his wife lest he would lose his chance to be the prime Minister But Mantharaka was admant ,"Mwwg Xilo Rad gob swwta tanamv niqtuq lengmab nyitwqto mwwnv, Dum cabn bo ak hv Mantarakanvn mwwg nywxwgam tox mvma dvb bitur tanum hog-gab hvbnyiloqkam mwv at gab arro mwwnbo nyiib nyinum "
"He replied,  Even though it is a good idea,","Mwv birwqnum, “Soq si albo bvrwq sujaqkam,"
"still I would consult my wife,","ngoqg nywxwngam ngo taka yin do,"
as she is my better half  ,hoggab mwn ngoqg gv taqc gon ”
"On reaching home,","Namho hvvc layil,"
he narrated the whole story of the spirit and his boon to his wife ,mwwg nywxwngam yalv mwam hoggv beknum ham hog mwlwngam xwwtam kunum 
He also told her what the barber had advised ,Ho hognvkv dum cabn bo akv mwam tomswrnum ham kam mwwg nywxwngam bekin kunum 
"His wife said,","Mwwg nywxwngv benum,"
" O my lord, no wise man would consult children or barbers or servents or beggars ","Oa! Ngoqg ata, cenglakbo nyi akv ko tulungam, dum cabn bo tulungam, nyera tulungam,ho kogaql dvnbo tulungam tomswr kudub taka maadwn "
A King's life is full of hardships ,Lvpw at akwg swwnamv vs-axaq looda dvn 
He never gets a minute's rest  ,Mwv vcwr gokam doonu dvb mood kaapa maadwn ”
"The weaver said,","Vj cumnbo ak hv birwqnum,"
 You are right ,“No kvtaq jaqb bedo 
But you haven't told me what boon I should ask for  ,Hvbmabde ngo hognvkv kobnyiloqkam al hindwn ham no ngam bekin ma ”
"She answered,","Mwn birwqnum,"
 Every day you are able to weave a single piece of cloth which is barely enough to meet our daily needs ,"“Aal looxiam no vj rumkin go cumlin twqdo, hoqhv ngulug looxiam dvn-twwn dvb juqnaq-juqxiq twqdo "
"You should ask for another pair of arms and another head so that you can work on two piece of cloth at one time,","Hoqgab no alaq loq lvqnyi gota hoo dumpo loq pwgta kota, haabo taqcib akwn hoo langk taqcib akwn, ho hvbnyib nyiloqkam no lvkin ciqnyi ho vj rumnyi go cumlin tayi "
"one in front of you, and one behind you ","Akine noqg Otuq, la akine noqg kokw "
The first pice will help us meet our our daily needs ,Otuq rumham ngulug looxiam nyin-mvn sanam mam nyin dvb nyitayin 
The second one will help us meet special needs ,Akine ngulg alv nyin-mvn sanam mam nyin dvb nyitayin 
"Thus, we can live comfortably and happily  ","Ho, ngulv doongam al bvla hempwl dootayin ”"
Mantharaka agreed with his wife ,Mantaraka mwwg nywxw benam mam loorwqnum 
"He happily went to the spirit and said,","Mwv hemp jaqb yalwg dookub wknv hoo benum,"
" Sir, you have kindly given me a choice ","“Sar, no ngam aljaqb atam xuqs mvdwb jijpa "
I request you to give me two more hands and an extra head ,"Ngo nam mvnyi-moiyul bedwn, ngam alaq loq lvqnyi gota hoo dumpo loq pwgta jitbv ”"
 He had hardly spoken before he was two-handed and four-armed ,Mwv alaq lvqpy gola dumpo pwnyi go dooma taiyikho agam vigo goomanum 
"Rejoiced, the poor weaver began his homeward journey ","Hemp-hvnyir kunv, jwwgw bo vj cumnbo akv mwwg nammwb wkur kunum "
"People on the way saw him and considering him as a kind of demon,","Nyiilungv mwam lamtaho kaapanum hoo mwam orram gob kaaknum,"
stoned him to death ,hoo mwam wlw hurx kunum 
The Gold Giving Serpent,Hun Jinbo Tvb
"Once upon a time,",Lok mood golo
there was a poor Brahmin farmer named Haridatta ,Haridatta ngvk hvl eminam Bramin rongo mvnbo jwwgw bo ak doonum 
"He used to work hard in the field,","Mwv rongo kwrw jaqb mvnbob nyinum,"
but could not get anything out of it ,hvbmabde hoq hoggv hog akkam naapa maanum 
"One day, after the tiring working hours,",Aal loog golo rongo nyitar pel gv-ngv nyelin layil
he lay down in the shade of the tree which stood in the middle of the field ,"mwv rongo rwqra lvpaho svvn daqnbo donyium niikumho doonunum  Hvb doa kvlam twqda,"
"Just then, he saw a terrible snake with a big hood coming out of an anthill ","Hvb doa kvlam twqda, torub rubj puutu hoqgv mwv tvb soog dumpo dumdap piapiatvl lengnam mam kaapanum "
"He thought that the serpent might be the guardian deity of the field and thinking that he had never worship it,","Ho tvb hv rongongam rvkil doogbo pwnbo gokam de mwv mwwnum hoo ham mwv nywywngam xumka jima hvl mwwdul doonum,"
that could be the reason for the barreness of the fields ,lokam hoqgab rongongv vly-aaxeq swwma deede mwwnum 
"Instanly, he brought some milk in a bowl and offered it to the serpent ","Ho nyebia jaqb, mwv pukaq golo gwwiyam naalayil hoo ham tvbab jinum "
"While offering the milk with due regards,","Gwwiyam jijo ywwtwl, mwv tvbam hvl agam benum,"
"he addressed the serpent,","mwv tvbam hvl agam benum,"
 O Guardian of this field!,“Kv! Rongongam rvky jinboa 
I didn't know that you reside here and that's why I never offered you anything ,No so doodwn hvl ngo cengmanum hoqgab ngo nywywngam nam hog akkam aky jijma 
Please forgive me ,"Hoqgab ngam paqnyi tvbka,”"
 Saying this he left the bowl and went to his house ,hvl bejo ywwl mwv pukaqkam naarab mav hoo mwwg nammwb wknum 
"Next day, when the poor farmer came to plough the field,","Aal loogwn so jwwgwbo rongo mvnbo akv rongongam tuqtab haanum,"
he found a gold coin in the bowl near the anthill ,hoo mwv pukaq uraho hun taiyin taqg doodwb kaapanum 
"Now, that became a regular feature of Brahmin's life ",Ho Braminwg swwcangv hvb nyikil swwl dooknum 
"He served milk to the serpent everyday and found a gold coin in retuen,",Aal looxiam mwv tvbab pukaq ho gwwi jinum hookur kaaikam hun taiyin taqg kaapa keenum 
the next day ,"aal loogwn ho,"
"One day, Haridatta had to go to the foreign lands ",Aal loog golo Haridatta nyoodo gvda golo wdwb nyinum 
"He would be away from home for a few days and so for this reason,",Mwv nam hoqgv meeg aal gab wleq tai mwwnv hoo
he asked his son to take care of the serpent ,hoo mwwg ko tuupam tvbab kaaiyak hvl beppel wleqnum 
The son brought the milk to the anthill and offered it to the serpent ,Ko tuup hv gwwiyam bwwlayil rubj puutu lwkwho bwa layil hoo ham tvbab hoonum 
"Next day,","aal loogwn ho,"
"when he came back,","Hwdlo mwv hookur yin ho,"
he found a gold coin in the bowl ,pukaq uraho hun taiyin taqg mwv kaapa keenum 
"After taking the gold coin,","Hun taiyinam naaxo kokwso,"
"he thought,","mwv mwwgamv,"
 This anthill must be full of gold coins ,“Soq rubj puutu so hun taiyin rooxo pade mwwnum 
I will kill the serpent and take them all  ,Ngo tvbab mengpaq tvl hoo mwlwngam naatayin ”
"The following day,","Aal loogwn so,"
the brahmin's son came to the field with the milk and the stick ,Braminwg ko tuup hv gwwiyam la svvda daag bwwlayil rongob haanum 
"He offered the milk to the snake and then,","Mwv tvbab gwwiyam hoonum,"
struck its hood with the stick ,hoo svvda lvgab tvb dumpongam jwwnum 
The snake escape the blow of the stick and in a rage bit the boy to his death ,Tvbv svvda jwwjiq kumab keleqnum hoo hang lengnv kongam sidwb cex kunum 
"Two days later,","Aal loonyi kokwso,"
Haridatta returned to his village and came to know the death of his son ,Haridatta mwwg nampamb hookur kunum hoo mwwg ko tuup sinam mam mwv cengknum 
He grieved and mourned ,Mwv mwwdwql nyix-riinum 
"But after a while,",Hvbmabde meeg kokwso mwv hvraqb rongob wnum 
he again went to the field ,mwv hvraqb rongob wnum 
He praised the snake in a loud voice and kept the milk near the anthill ,Mwv vc looda sogoqnv tvbab paqnum hoo gwwiyam rubj puutu lwkwho tvp jinum 
"The snake came out of the anthill and said,","Tvbv rubj puutu hoqgv lvvgwb lengnum hoo benum,"
"Brahmin, it is greed that brings you here ","“Bramin, nam soq so noqg rvvsw-roogubnamv boa paku "
You could forget the death of your only son so easily!,Noqg ko tuup sinam mam no hog gokam mwwdwq dvb mwwpa maab no so haapa!
so now on our friendship is not possible ,Hoqgab sija ngunyig ajin jinbamnamv jengla deekma 
I helped you when you were in need but I shall not serve your greed ,Hwdlo no vs-axaq yikho ngo nam svkanum hvbmabde noqg rvvsw-roogubnam mam ngo nam svka nyokram 
The Foolish Monkey,Pacabo Seby
"Once upon a time,","Lok mood golo,"
there was a king who kept a monkey as a pet ,lvpw at ak sebiam sonum 
The monkey served the king in whatever way he could ,Seby ak hv lvpw atam hoggv xeq nyidwb nyila dvn ham nyijnum 
No one in the kingdom dared to tease him ,Lvpw ho hiyvkam mwam bej-bepar dvb hampeq nyomanum 
He had a free run of the royal household because he was the king's pet ,Mwv xinam namlo uraho mwwg mwwkwb xarminl yvnum hog-gab hvbnyiloqkam mwv lvpw atwg sonam ak gob nyinum 
"One hot day,","Ogbo aal golo,"
the monkey sat fanning by the side of the king who was sleeping ,seby akv yubdu bo lvpw atwg bvywrho dootwl mviyab yabkal doonum 
"He noticed a fly sitting on the king's chest,","Tviyw cig lvpw atwg swqbwho jarpwl doodwb kaapanum,"
which distrubed the king ,hoqhv lvpw atam hins-kaaxaq dvb mvnum 
The monkey tried to swish her away so that the king could sleep peacefully ,"seby dorhv tviywngam lvpw atwg hoqgv ruqpaq dvb nyikanum ho Lvpw atam swrso alwb yubdvb,"
The fly went away for the moment but came back again to sit on the king's chest ,Tviywngv meeg mood gob jargin peel hoo hvraqb jorkur banv lvpw atwg swqbw hv jarp tvl doonum 
The monkey could take it no longer ,"Seby dorhv oiyu-ado kama daqb mwv mwwnum,"
" I must teach the fly a lesson,  he decided ",“Tviyw san ngo cens loq ak tomswr tayin mwwnum ”
He quitely left the king's room to look for a dagger to kill the fly ,Mwv cooikab lvpw atwg cwwrwb haanv tviywngam mengn dvb yoqciq meegaqnum 
"When he found it,","Hwdlo mwv ham kaapa yukun,"
he return to the king's room ,mwv lvpw atwg cwwrwb hookur kunum 
The fly was still sitting on the chest of the king ,Tviyw cirhv hvraqb lvpw atwg swqbwho doodunum 
The monkey raised the dagger band brought it down with all his might on the fly ,Mwv hog hwdgo atorv doodwn hwdkalam go Seby dorhv yoqciqkam lwwrab banv tviywngam xutin dvb hvl xulwqnum 
Then fly flew away but the king died as a result of the dagger blow delivered by the monkey ,Tviywngv jarleqnum hoo seby hoqg yoqciq nwqgam gab lvpw atv siknum 
The Princess and the Pea,Lvpw Atwg Nyemko la ho Peerin
"Once upon a time,","Aal log gol,"
There was a handsome young prince who decided to get married ,kaangam jaqnbo Lvpw Atwg ko tuup ak hv nywxw naadkub mwwbwq kunum 
"You must marry a real, genune princess,","No jvqtw jaqnbo Lvpw atwg ko nyem akja nyem naato,"
The Queen instisted  ,"Lvpw Koory ak hv nintin jijinl benum,"
"She must be beautifull, clever, charming and kind ","Mwn kaangamjaqnbo, dengkyjaqnbo, koojubjaqnbo ho hang haatjaqnbo akam naato "
"Nothing less will do,",Hvb nyimaboam ak kam naama jijaq bvka ngoq ko 
my son!,Ngog ko!
"Agreeing with his mother,","Mwg anwg benamam talayil,"
The Princess travelled all over the world to find the real Princess ,mwv kvtaqjaqnbo Lvpw atwg ko nyem ak nywxw naadvb hvl mwv gvda gvtwb wwknum 
"There were many Princess,","Hoq ho lvpw at nyem kov vigo kaapa sunum,"
"But it was difficult to find out if they were real,genuine ones ",hvbmab kvtaqjaqnbo ho aljaqnbo ak kam kaapa maanum 
None of them seemed perfect ,Hiyekam Hog malo hog ak juqc yoomab nyinum 
There was always something about them that that was not right ,"Kvtaqjaqnbo ak kam kaapa maanum, Hog malo hog ak juqc yoomab nyinum "
"Some were too tall and some were too short,","Tuugin vigo mwam ao yaanum ho tuugin mwam vigo ootu yaanum,"
Other too thine or too fat ,ho tuugin vigo dornyonum ho tuugin vigo doortnum 
Some were very old and some were very young ,Tuugin mwam vigo akam yaanum ho tuugin vigo mwam anyo yaanum 
The Prince was really disappointed ,Lvpw atwg ko tuup ak hv vigo mwwdwq kunum 
" I just can't seem to fine a real, genuine Princess anywhere ","“Ngo hoglo jaqkam aljaqnbo, kvtaqjaqnbo lvpw atwg nyembo ak kam kaapa nyookma”"
He sighed and began the long journey back to his kingdom ,hvl mwwdwq kunv ho hvnyi kunv mwwg lvpwb wwkur kunum 
He would have liked very much to have a real Princess as his bride ,vtaqjaqnbo lvpw atwg nyem ko ak mwwg nywxwgab naadvb vigo mwwnum 
"But when, at least he returned home,","Hvbmab, hvdlo mwv namub wwkur yikho,"
He decided to give up the idea altogether ,Mwwg mwwl wwnam mwlwngam axia kunum 
"One dark night a tririble strom come on,","Ai kan ak gol doogum-tayam kooi jaqnbo ak haanum,"
"There was thunder and lighting,","hoq ho doogum guuml ho tayam byoql haknaam,"
And the rain pourd down in torrents ,Hoge nyodongv ecjaqb hoanum 
"In spite of all this noise,","Doogum-tayamv duce suja kuqkam,"
The king heard a knock on the palace door ,Lvpw at ak hv mwwg vyapam nyi ak padin numam tapanum 
Who can be there on a night like this?,Ai ywyw so hiyvjaq vyapam padin dvnyu ?
Said the Queen as the king went to open the door ,"Lvpw at ak hv vyapam mvkotab wwdu yikho, Koory ak hv benum,"
