English,Tagin
"This is an example of how the Holy Spirit used to proclaim the good news to those who followed Jesus from Jerusalem, Judea and Samaria, and to the end of the earth.","Si kainv risvvngsv nga mimpado oguaingbv kvvlo gv Jisunyi riming gvnv vdwa, Darwknv Dow gv, rigvnam lokv alvnv Gamlv nga japgo karmunamv “Jerusalem hoka, Judia okv Samaria mvnwng ho, okv sichingmooku gv ataranya lo” (1.8)."
On seeing them the Riumchingjering decided to perform a uyu nyetam in order to separate the two expanding entities on a different sphere,Riumchengjering ho kaachin tuku la Riumching nv Riumdo bunyi ha doopin-doyin sudu kubv uyu nyetam gu tamto
He found his master,v nw gv nyigbo vm kaapa pa
take your sister home.,burmv nga bvlai.
Mark Mintamchonam,Mark Introduction
Show me,ngom kaatam to
Takar knows how to play the piano,Takar piano ngvm richin do 
Get real!,jeejv-pvrv bv rito!
growing of moustache,namw mwnam
Again it played the same trick hoping that the cotton bag would be still become lighter,Yabin lvku da chinla lamda lo dvktup tvla koro lo holu ro mwwla pubam si haajup ri hvla
Yaro is giving birth continously,yaro kuu bvngdv-bvngdv do
give me four feet of chicken,ngom porok lvpa lvpam gu jito
chosen from within,Arwng lokv darlinnam
"These are the people who are being persecuted, they are the ones who are leading their lives without the Holy Spirit.","Soogv nyi vdwsi miyakmvpak dubv rigvnv, hoogv darwknv Dow kaama bv atubogv adwnamar lokv mvngdung am rigvdogv kunv."
Are those new shoes?,bw nutun nv lvkiam gu ri?
Which one is Ragyam?,Hugu lo angv ragyam?
Oh ho you lost your sister and didn't try to find her.,Alle no hvmi vm ngemu tvla mekar so mvngpa kakuma.
my baby talks,ngo anga agam minsu
you all don't claim this land,nonu kedv gakgv mabv
Everybody was tired,nyi mwlww agar-ayar pa
Anybody can do this,mwnww vh ka sim vla re
tara what are you doing for long time,tara no hugu rikwng duku nv
yaro was arranged particularly for tapa,yaro nyi tapa lvga mindum jipa
My mithun has never given birth,Ngo subu kuu bvvka kuma
this is my house,si no gv naam
He has big problems,v gv tvtw nv tarin doodo
you too,no ka 
appreciate,ayum
tara and tapa had farewell,tanya la tapa mvbin minsu pa
The sun rises in the east,donyi v dotar lokv poklin do
I'll cook,ngo kwwre
I'm weak,ngo torma do
We celebrate our Si-Donyi every year,ngunu gv sii-donyi hv aping-aning ji redo
we will let you talk tomorrow,nam aaru nyi ngunu agam jabmu re
Tania is running,Tani jokdv
Takar read the book Yapi gave him,Yapi gv jinam kitab vm Takar puri ringam pa
Everybody likes him,nyi mwnww vm kaagia do
I'm going,ngo vvde kunv
Takar is my father,Takar ngo gv abo
align this two tract to a point,lamda daanyi so rungjik suto
The fencing is built by Tapu and is group,Seluu raknv ngv Tapu bulu
I'm going to catch more fish.,Ngo ngui nat tvjin.
Eat more vegetables,oo meegu dvdv to
my hand is tired now,ngo alakv laknwk puku
May I go?,ngo vvdu kubv?
He got on the train,bww tren ao lo chaado
I see a butterfly,ngo popar-pomar vm kaado
Does that feel good?,vv himpu do?
I have five rupees,ngo morko barngu go dodo
it's difficult to run on sand ,chugli lo jugnyi mado
I am bathing,ngo horsup dun
These are the works of the Holy Spirit that are recorded in the scroll of Nyingnam. They are the words of the one who gave power over the church on the first day of Pentecost.,"Nyingnam kitap lo dinchinam angv Darwknv Dow gv rikunam vdwv, hv Pintikost alulo mvngjwngnv vdwlo jwkrw jilwkla rigvdogvnv vdwa gwlwk am jila gvrja nga alvbv rigvdogv mokunam vdwa mimpadu."
maximum have not came,yaagu nv aama
We should listen to our elders,abvng achi gv mennam vm tvla ju
open the door,popum kokko
I play games,ngo game rido
My home is very far away,ngo nam he achlvv addo do
booking a bus ticket,bus ticket twwdo
The Final Story (13:11-13),Minyabv minkunam (13:11-13)
showing by pointing finger,lakchi lokv chitam do
You have a red ball,no gv yalwng nv apw dodo
today,svlu
Everybody likes her,nyi gwdw vm pakdo
He became irritated,v dwktwk gobv ripa
these dogs are mine,ikki halung v ngokv
Takar is boring,Takar nyubnyi-nyuma do
I hit Takar,ngo Takar nyi jeepa
I give in,ngo jipa
Did you bring yours?,no nokv bvvpv nv ri?
don't do worthless things,no amin kama bv rima bvde
Yaro's wine is sweeter than Yapa's wine,Yaro opo si Yapa gv ngam tvsar yaado
Run!,jukto!
This beautiful place,Kaapu nv moko si
Do you have one rupee?,no morko abar go dopai?
Takar's up,Takar gurap pvku
who kill my chicken,ngo poroka apchoo bongv hvye la
I'll quit,ngo vvpak re
oratory power,raagv nvnv uyu
Takar paid,Takar dorpa
something spend for foodkaarv nvnam,dvrv nvnam
to reheat the food,achin mvgu
Don't sleep at other's house,kvbi gv naam log nyupyo
I'm going,ngo vvdo
Do you like oranges?,no untra dvgia do?
Is he Takar?,vv angv Takar pvnv bvre?
tara is seriously ill,tara maatar bv lvvma pv
your sister was lost,burmv nge ngvmu tvla
put the hand inside the hole quidkly,umrung arwng alakv iba bv ilik tho
tied and left her.,burmv nga lepv pvla.
eagle is holding a chick in air,kyokamv ruu chagu gaabw do
Answer my questions,ngokv tvu nam raarwk to
Don't tell your dad,nogv abu vm minma bv ka
ying-ying gokdo,ying-ying vvdo
You come here,no so aato
Takar lives on a thirty-acre farm,Takar chamom ekar rvngo lo dodo
Paul was able to fulfill these words.,Paul vbvrikunamv soogv atukalv gamlv sum alv yabv minlwk dvvto.
One Ryoksi is passing from one place to other,ryoksi soogu dorkar du
Don't be a stranger,kaachin manv nyi bv rima bvka
I have a pencil,ngo gv lo pensil dodo
She runs,bww jokdo
carry and feed,gvmwk
begin paying the wage from downward to upward,rijo nga bolo kongv joocha tho
The cat is sleeping on the bed.,Ami kargia lo yubdo.
don't keep holding the rope,osso songa bvvdv-bvvdv yooke
When he told the same joke for the third time no one laughed anymore,nw soonam gam vm aom jinv bv sooka naamv nyi akin ka nyorma
Are you angry at me?,no ngam haachi pvri?
come down to home quickly,naam so iba bv ito
I am in Class 5.,ngo class 5 lo puri do.
none of them came to see me,aku nvka ngam kaabv aama
let it be over,ao-aro moto
tara you carry it first,tara no so bakcho tho
He gets up at seven,v aru nyi apo ponv lo gurap do
you came to beat me,no ngam mvbv aado
Everybody's smiling,nyi mwnww ngv nyordo
This beautiful place,Kaapu nv moko si
Rejoicing is given to those who believe in God by God’s Spirit through the power of death and sin.,Sinamyaanam okv rimur gv jwkrw lokv Pwknvyarnv gv Dowv laalin jila kula riku nvngv Pwknvyarnv gvlo mvngjwngnv vdwv himpu lakula riduku.
my father has concluded his words,ngo abu agam raangin ro
keep the foot on the stone,vlwng ao so korpv tho
father kurium's,kurium abu gv
flooding,issi tvla
Did you like Boston?,no Boston vm aya alv bv mwwdv nv ri?
I'll not return in the evening,ngo svryum nyi aakor mare
Thanks,umbonyi
Oh no!! Where did the fish go?,Alle!! ngui v hugulo?
don't you go out ,no vvlin-va kuma ai
Talar you wear the straw hat,Talar no bootu vm binto
You like ice cream,no aiskrim dvgia do
He got on the train,bww tren lo geecha do
Takar ran a hand through his hair,Takar nw gv dumw vm alak bv molap pa
give one burning firewood,mvtu tuugu jito
Do snakes scare you?,nom tabw busu dvbv mvdo?
I cant play football,ngo putbol rinyu ma
Takar never thought of the future,Takar kookww lvga bv lvku ka mwwma pa
I'm lying,ngo mvvdo
Do you have a child?,nokv kuu aku dodo?
when you received the money,no gv morko naare ho
oh! I almost hit the target,ayak! ngo apjik daase
other people will see it greedily,nyi kvbi v kaabi re
I'm bald,ngo toklik do
"Yes sir, yes sir,","Vm sar, Vm sar,"
Hug Takar,Takar nyi chvbww to
Tell Takar,Takar nyi minto
Do visit Leya village,Leya nampam aakor-aarwk laka
You wear shoes,no lvkiam gvdo
eaten all food completely,achin dvnya cheka ro
even though you lit my soul,donyi mvram parku jikam
Yapa's wine is sweet,Yapa opo si tvsar do
Everyone was killed,nyi gwdw vm mvki ro
lied to Riumching about Riumdo that he came out of the house only after five days,Riumching nyi Riumdo arw loongu gu doomwng piila agum limpv ku hvla mvvji to
Takar poured himself another beer,Takar atu lvga bv opo lvku go pwlwk pa
When are you coming to Dapo?,No hvyv nyi Dapo aare?
tara is helping tapor in cultivation,tara tapor nyi rongo riji
dog run after deer,ikki hv seduma rokmii gvdo
saving money by working in other's crop field,rongo rwklap lapkum do
if you don't come to dapo,no dapo chaaku maabo lo
football has started,putbol rigak ro ku
my mother is doing work,ngo annv kaam ridu
I may go to village,lvko lo ngo nampam chaare
Jesus is shown to be a man who follows God’s commands and deeds.,Jisunyi Pwknvyarnv gv tojupkunam a okv rinamvngnama gvla rinv vngnv nyi gubv kaatamdo.
watch your walking,vvnam v kaato
give instantly at arrival,aadak lo jilaka
sratch my hand,ngo alak aak to
Takar has a gun,Takar gv mabuk aku dodo 
Can I go?,ngo vvla re?
Can I call you back?,nom ngo koll mvkor to ai?
The Feast and Near Jerusalem (Matthew 13:1—Matthew 19:42),Rinya alu okv Jerusalem nvchilo (13:1—19:42)
there is no point to discuss,hv agam raalam kama
the baby may cry,anga ngv kapri de
Takar lacks confidence in himself,Takar nww vm haami puku
take and hide ,naacho
by punching and deforming you,tukup-tulik mvtv la
Be careful in there,arww lo acho bv kv
rolling stone is breaking,vlw ngv kaatak du
Get Takar,Takar nyi minto
Takar is lonely,Takar ajin kaama do
tying a mithun with a rope,subu takpv
Wait!,dooya to!
Can we go?,ngunu vvla re?
I'm angry,ngo mokpv ku
Everybody loves Takar,nyi mwlww Takar nyi aya do
you should go towards the Leya village,no leya nampam takbv chaala ka
if not know what is in your heart,nokv haapuk vm hingka mabolo
Do you wear glasses?,no nyilo-kargo gvdo?
one house is present,naam namgu doopv
tara was watching the mithun,tara subu kaajii
He has enough money,v gv morko kubo bv doodo
French is difficult,French gaam v minru do
Takar looked reluctant to do that,Takar kaam vm ridu bv kamdung gvri kaapa
cloud flows smoothly,haapam hv dvlam-dvlam juudo
Takar lies,Takar mvrdo
do come quickly,anwk bv aato ka
Give water to Yaro,Yaro nyi isi jito
tara you do it,tara no risv
Cut three sticks for me,Ngom seeda daaom gu pajito
go along the corner of the river,issi gv bvyar-bvyar bv vvto
tara was married,tara nyimv naapa
Call the men,Nyi a gokto
She came,bww aado
Don't cut the tree,Svvnv a pama
let the baby drink milk,kuu vm uchu tvngmu to
a person who is blessed by the Nyitvr Donyi becomes incapable of bearing offspring,Nyitvr Donyi gv kinam hv nyerium dunv yu
Went to mother's place,anv gv dooku bv vvro
Everybody loves him,nyi mwnww vm aya do
Takar knows where I hid the money,Ngo murko hugulo apv pvnv kv hvla Taka chindo
I hear birds chirping,ngo pvta gv chupnam tvpa do
deer is not seen now a days,selu-meelu seedum kaapa kuma
We'll go,ngulu vvre
don't spend even a penny,morko nga mvlok jima
"In the same way, Paul testified that God’s Law and the Spirit of God are at work in the lives of the faithful.",Chapter 5-8 gv arwng lo Pwknvyarnv gv Pvbv okv Pwknvyarnv gv Dow gv jwkrwv mvngjwngnv vdwgv turnam lo doodunv vla Paul vbvka japta laka ritoku.
You're always busy,no alo diki bv dumda-tabya do
have all the people arrived,nyii hv aajup pai
cleaning grass in crop field,rvngo oonam
Takar predicted that would happen,Takar hvb rire hvla chinpa ro
wake up the sun has risen,gurap to donyi v chalin puku
Something is up there,Tv hugu gu dooru do
You made a mistake,no rimor pa
I like it,ngo vm mwwgia do
the rice bag is cut open,amin pusuma pasik ro
You eat apples,no eppvl dvdo
"This is how he teaches the gospel, and how he writes the gospel in Galilee.","Okv vbvrikunamv ninyigv ridungripa rirapla doin japgola tamsar kunam ha, okv Galili lo mvpuripunam lobv lvkpv jidu."
During the day of Sii Donyi festival celebration people are throwing rice paste randomly,Sii Donyi alo lo nyi gwdw vtw chinam chido
Takar is a fool,Takar angv pvcha bv rido
wasp stings,taga ngv punu do
eat daily,dvki
feeding,achin hoonam
something that is not good to see,kaanyii
now a days that type is not seen,sijv hvbv rinv dooku ma
Can you tell a short story?,no anyo nv herak hwla re?
Don't tell your dad,nokv abu ngam minma bv ka
You feel happy,no himpu do
wife of Abotani,Anv-Yapv
tara and yapa is doing sex,tara la yapa yoba sudo
don't claim land ownership,kedv atu tooma
Takar had a son,Takar gv kuu aku dope
"After this, the signs of the miracles were revealed.",Ho kochingbv lamrwpadubv mvnam rinam gv lvga nga minji kunamv.
do from top portion only,ao lokv mvmwk tho
in order to separate the earth and the sky Riumchingjering he himself became two entities,Riumchingjering svching la Nyido bunyi vm gaapin supe kula nw anyi gubv ritu ku
Okay mother,Kv aanv
My name is Tayo,ngo gv amin Tayo
Let the baby drink milk,kuu ha ach tvngmu to
He cannot afford it,bww vm rvvnyu ram
I brush my teeth,ngo heju hm ngo brush bv nikdo
Construct a house for father,Abu lvga bv naam mvto
Divide this money among them,So morko sam wdw vm horpin suto
Bring the mithun,Subu vm boolvk to
whether you drag me forcefully,svkup-svlik mvda kam
water has flown out,issi hv ooa ro
movement of eye ball to see something,anyik lukar
I will come Dapo tomorrow,aaru nyi ngo Dapo aaree
Call me,ngom gokto
Who cut that bamboo?,Hvju v panv hvyv?
don't cut backward,pakor mabv ki
Takar leafed through the magazine,Takar megajin abar vm taapa
come to the side of house,naam adar so aato
I know,ngo chimpv
Yaro is sitting pondering,yaro baabw-chekw pv
this money is not sufficient,morko si pwwma
When they will come?,wdw v hdv nyi aare?
tara kills snake,tara tabw mindo
the earth was not plain as it was,Svching si mooring jaji kuma bv
I like it,ngo vm alv bv mwwdo
Do not let Tara to come home,tara nyi naam aamu ma
handfull of rice,achin okbam gu
a man,nyii go
With vinegar and brown paper.,binegvr hokv yabor nv pvta lokv.
Go and wake Yapi up,vvgv rila Yapi nyi mvu te
and he also believed that the Jews would force Him out and that He would no longer live.,okv hv vbvka mvngjwng toku jius vdwv tulatua kila Jisu nyi ribv kumareku.
Be brief,alv bv mintam to
finally tara married to yaro,yaro nyi tara naapin ro ku
Yapa looks surprising,yapa baa-hvra kaapa do
Friends have gathered,No kuu v kapdo
I have completed my part,ngo gv bvtama tama pukunv
Do you have one rupee? ,No morko barken go do pai?
if not asked to my mother and father,anv abu vm tvka mabolo
I am searching for a mithun to buy,subu rvvdu bv takar dunv kv
I have five clothes,ngo iji borngv go dodo
call tara and taku together in dapo,tara nyi la taku nyi dapo so gokdum tho
Thank you,Umbonika
all the male elders performs Hoi,Nyiga dvdv ngv Hoi peelin la kaatam do
Don't smoke in here,so mwkw tvvyo
all the group of people have gathered,nyii hv dardum puku
Smile,nyorsi
Your room is dirty,ngokv popum cherik-cheriak do
make this iron redhot,ryokdar so baar tho
He has big problems,bww gv tvtw nv tarin doodo
we eat food,Ngunu achin dvdo
Elder brother,abw
I'm doing great,Ngo achel alv do
to separate Riumching and Riumdo into different spheres Svching Nyedo kambv ritual was performed,Riumching nv Riumdo bunyi v mvpen sidu kubv Svching Nyedo Kambv bvng to
He cooked me dinner,v ngo lvga bv aryum gv achin kwwji pa
He has acted wisely,v nyiki bv ripa
He has his own room,v popum atu gv doodo
stripped colored mithun,subu tamar bo gu
Oh Lord I am your devotee.,"Dvbv ngo, no gv mvnggap kunam nyi ngv."
